gene_id,MCF-7,MCF-7-ADR
A1BG,0.405057,0.705833
A1CF,0,0.006993
A2M,7.26422458,0.174326
A2ML1,0.083457457,0
A3GALT2,0,0
A4GALT,14.19419745,0.77807202
A4GNT,0.068156,0.066883
AAAS,26.29874589,28.07448764
AACS,15.85020455,6.180307692
AADAC,0,0
AADACL2,0,0
AADACL3,0,0
AADACL4,0,0
AADAT,3.856084177,7.262447692
AAGAB,27.87947944,19.5218365
AAK1,5.101792282,5.319522015
AAMDC,6.094584042,5.578216164
AAMP,44.10854559,33.41317221
AANAT,0,0
AAR2,7.086265884,11.08531725
AARD,14.512015,4.113588
AARS1,316.177582,352.153168
AARS2,4.283285,5.974438
AARSD1,6.190604,3.114604
AASDH,5.803106515,7.204190553
AASDHPPT,8.781306,37.171635
AASS,0.454042,7.439197
AATF,39.317734,57.929981
AATK,0.12837395,0.262700657
ABAT,36.67876065,0.251770284
ABCA1,0.020261,1.591848
ABCA10,0,0.299036
ABCA12,33.85138406,0.104163471
ABCA13,0,0.120196
ABCA2,9.325806966,1.876183334
ABCA3,7.740407,14.970715
ABCA4,0.071614,0.238317
ABCA5,10.41125691,2.723878922
ABCA6,0,0
ABCA7,1.315446,0.739799
ABCA8,0,0.032856574
ABCA9,0.009223,0.068731
ABCB1,0.020417044,431.3929949
ABCB10,3.590542,3.527928
ABCB11,0,0
ABCB4,0.368506451,33.26717553
ABCB5,0,0.031131442
ABCB6,15.35831625,4.688870229
ABCB7,5.101007692,6.312931458
ABCB8,3.17102085,6.032171042
ABCB9,2.336011313,1.09065728
ABCC1,11.431561,32.504555
ABCC10,2.230910441,2.0760794
ABCC11,0.361197274,0.044963212
ABCC12,0,0
ABCC2,0.940157,0.819717
ABCC3,13.08101285,0.088307287
ABCC4,0.57883878,7.836217162
ABCC5,17.87421853,14.49999915
ABCC6,0.990588484,0.457530602
ABCC8,0.512193869,0
ABCC9,0.036471357,14.16690954
ABCD1,11.564299,0.528276
ABCD2,0,0.010314
ABCD3,9.627079152,9.470110901
ABCD4,3.119315476,10.89619392
ABCE1,42.03084135,107.6469259
ABCF1,34.537248,48.99624755
ABCF2,23.976202,39.894699
ABCF3,15.84427995,15.27817565
ABCG1,28.84179462,0.193687737
ABCG2,7.599852993,0.679808575
ABCG4,0.015185728,0.066213262
ABCG5,0.087571,0.069358
ABCG8,0.113487,0.156698
ABHD1,1.047354,0.228882
ABHD10,9.911769108,26.04136968
ABHD11,13.13498302,1.902272684
ABHD12,33.51953236,13.42056841
ABHD12B,0,1.123015
ABHD13,1.93747,2.413862
ABHD14A,0.352511,2.786103
ABHD14A-ACY1,0,0.069924
ABHD14B,7.717388,11.84057162
ABHD15,3.238499,1.083414
ABHD16A,9.847062967,8.546954889
ABHD16B,4.441504,4.266273
ABHD17A,3.131699395,2.605659276
ABHD17B,2.976877851,7.261188009
ABHD17C,19.20685,2.56713
ABHD18,2.43691299,4.591866004
ABHD2,9.858635225,15.5054635
ABHD3,2.649227373,2.481547511
ABHD4,15.366655,8.787813
ABHD5,4.785332242,5.388054752
ABHD6,1.476467483,6.078495163
ABHD8,0.79778,1.046397
ABI1,21.58908638,22.59920305
ABI2,4.948725599,3.98495039
ABI3,0,11.07893599
ABI3BP,0.14030625,0.180927665
ABITRAM,16.225874,18.278172
ABL1,24.76593185,28.15234414
ABL2,10.82780152,43.96366569
ABLIM1,14.32413517,2.633829785
ABLIM2,0.316058921,0.185211534
ABLIM3,3.591362739,10.71531501
ABO,0,0.0051469
ABR,8.893187944,12.33010517
ABRA,0.104224,0.085903
ABRACL,41.053677,31.547544
ABRAXAS1,2.678361008,5.728472412
ABRAXAS2,9.741764,17.333288
ABT1,5.761774,10.179387
ABTB1,0.887052826,1.875954055
ABTB2,10.309824,2.753281
ACAA1,15.74068208,8.290553374
ACAA2,7.588491,2.184092
ACACA,17.57332138,19.41198971
ACACB,2.143199,1.350182
ACAD10,5.715140276,5.004647903
ACAD11,9.12357,23.498758
ACAD8,4.147849,7.63205
ACAD9,22.255684,35.172596
ACADL,0.024186,0.203961
ACADM,11.26577358,20.40377997
ACADS,1.746014871,0.692434257
ACADSB,7.755033019,0.75065398
ACADVL,88.87241646,43.12128736
ACAN,0,0
ACAP1,1.376782,0.962109
ACAP2,15.620058,9.637865
ACAP3,1.931922,1.872468
ACAT1,38.171825,55.168125
ACAT2,13.41336729,18.94731057
ACBD3,20.383411,30.555984
ACBD4,1.460126164,3.599660976
ACBD5,11.93914677,5.202446223
ACBD6,40.77272,17.87126
ACBD7,8.302161,3.209037
ACCS,3.351164,1.640751553
ACCSL,0.038606,0
ACD,8.766633,7.919883
ACE,1.033951365,0.245315995
ACE2,2.167002234,0.018041
ACER1,0,0
ACER2,1.030118,0.695739
ACER3,5.997456959,7.881945139
ACHE,0.114240355,0.041721499
ACIN1,44.83650298,40.72882203
ACKR1,0,0
ACKR2,0.592853,0.019184
ACKR3,0.471197,0.896037
ACKR4,0.9772701,2.50617294
ACLY,76.47441725,82.39952481
ACMSD,0.142863672,0.298586015
